Cat detected at 15.30s, duration: 0.10s
Cat detected at 15.40s, duration: 0.10s
Cat detected at 15.50s, duration: 0.10s
Cat detected at 15.60s, duration: 0.10s
Cat detected at 15.70s, duration: 0.10s
Cat detected at 15.80s, duration: 0.10s
Cat detected at 15.90s, duration: 0.10s
Cat detected at 16.00s, duration: 0.10s
Cat detected at 16.10s, duration: 0.10s
Cat detected at 16.20s, duration: 0.10s
Cat detected at 16.30s, duration: 0.10s
Cat detected at 16.40s, duration: 0.10s
Cat detected at 16.50s, duration: 0.10s
Cat detected at 16.60s, duration: 0.10s
Cat detected at 16.70s, duration: 0.10s
Cat detected at 16.80s, duration: 0.10s
Cat detected at 16.90s, duration: 0.10s
Cat detected at 17.00s, duration: 0.10s
Cat detected at 17.10s, duration: 0.10s
Cat detected at 17.20s, duration: 0.10s
Cat detected at 17.30s, duration: 0.10s
Cat detected at 17.40s, duration: 0.10s
Cat detected at 17.50s, duration: 0.10s
Cat detected at 17.60s, duration: 0.10s
Cat detected at 17.70s, duration: 0.10s
Cat detected at 17.80s, duration: 0.10s
Cat detected at 17.90s, duration: 0.10s
Cat detected at 18.00s, duration: 0.10s
Cat detected at 18.10s, duration: 0.10s
Cat detected at 18.20s, duration: 0.10s
Cat detected at 18.30s, duration: 0.10s
Cat detected at 18.40s, duration: 0.10s
Cat detected at 18.50s, duration: 0.10s
Cat detected at 18.60s, duration: 0.10s
Cat detected at 18.70s, duration: 0.10s
Cat detected at 18.80s, duration: 0.10s
Cat detected at 18.90s, duration: 0.10s
Cat detected at 19.00s, duration: 0.10s
Cat detected at 19.10s, duration: 0.10s
Cat detected at 19.20s, duration: 0.10s
Cat detected at 19.30s, duration: 0.10s
Cat detected at 19.40s, duration: 0.10s
Cat detected at 19.50s, duration: 0.10s
Cat detected at 19.60s, duration: 0.10s
Cat detected at 19.70s, duration: 0.10s
Cat detected at 19.80s, duration: 0.10s
Cat detected at 19.90s, duration: 0.10s
Cat detected at 20.00s, duration: 0.10s
Cat detected at 20.10s, duration: 0.10s
Cat detected at 20.20s, duration: 0.10s
Cat detected at 20.30s, duration: 0.10s
Cat detected at 20.40s, duration: 0.10s
Cat detected at 20.50s, duration: 0.10s
Cat detected at 20.60s, duration: 0.10s
Cat detected at 20.70s, duration: 0.10s
Cat detected at 20.80s, duration: 0.10s
Cat detected at 20.90s, duration: 0.10s
Cat detected at 21.00s, duration: 0.10s
